Author_Name,SS_Author_ID,GitHub_Username,Paper_Title,Repo_URL
Amirreza Mahbod,9545777,masih4,The effects of skin lesion segmentation on the performance of dermatoscopic image classification,https://github.com/masih4/Skin-lesion-segmentation-effects-of-the-classification-perfromnce
Andrew D. White,2150199535,whitead,Predicting small molecules solubility on endpoint devices using deep ensemble neural networks,https://github.com/ur-whitelab/mol.dev
Andrew D. White,2150199535,whitead,A review of large language models and autonomous agents in chemistry,https://github.com/ur-whitelab/LLMs-in-science
Andrew D. White,2150199535,whitead,Recent advances in the self-referencing embedded strings (SELFIES) library,https://github.com/aspuru-guzik-group/selfies
Andrew D. White,2150199535,whitead,Assessment of chemistry knowledge in large language models that generate code,https://github.com/whitead/nlcc
Andrew D. White,2150199535,whitead,Predicting chemical shifts with graph neural networks,https://github.com/whitead/graphnmr
Andrew D. White,2150199535,whitead,Learning peptide properties with positive examples only,https://github.com/ur-whitelab/pu-peptides
Andrew D. White,2150199535,whitead,Federated learning of molecular properties with graph neural networks in a heterogeneous setting,https://github.com/ur-whitelab/fedchem.git
Andrew D. White,2150199535,whitead,SELFIES and the future of molecular string representations,https://github.com/aspuru-guzik-group/selfies
Benjamin Bancher,2044206605,bbanc,CryoNuSeg: A dataset for nuclei instance segmentation of cryosectioned H&E-stained histological images,https://github.com/masih4/CryoNuSeg
Benjamin Bancher,2044206605,bbanc,Improving Mask R-CNN for Nuclei Instance Segmentation in Hematoxylin & Eosin-Stained Histological Images,https://github.com/bbanc/Improved-Mask-R-CNN-for-nuclei-segmentation
Caitao Zhan,8774554,caitaozhan,DeepMTL Pro: Deep Learning Based Multiple Transmitter Localization and Power Estimation,https://github.com/caitaozhan/deeplearning-localization
Himanshu Gupta,2055614125,himanshugiriraj,A Large-Scale Dataset for Small and Tiny Object Detection from Aerial Imagery,https://github.com/himanshugiriraj/NITJ-AIR
Jia Fu,2220702355,Fujia1998,UM-CAM: Uncertainty-weighted multi-resolution class activation maps for weakly-supervised segmentation,https://github.com/HiLab-git/UM-CAM
Jia Mi,2299781917,MiJia-ID,GLM-EP: An Equivariant Graph Neural Network and Protein Language Model Integrated Framework for Predicting Essential Proteins in Bacteriophages,https://github.com/MiJia-ID/GLM-EP
Jia Mi,2299781917,MiJia-ID,USPDB: A novel U-shaped equivariant graph neural network with subgraph sampling for protein-DNA binding site prediction,https://github.com/MiJia-ID/USPDB
Jia Mi,2299781917,MiJia-ID,GGN-GO: geometric graph networks for predicting protein function by multi-scale structure features,https://github.com/MiJia-ID/GGN-GO
Mayk Caldas Ramos,153331031,maykcaldas,Predicting small molecules solubility on endpoint devices using deep ensemble neural networks,https://github.com/ur-whitelab/mol.dev
Mayk Caldas Ramos,153331031,maykcaldas,A review of large language models and autonomous agents in chemistry,https://github.com/ur-whitelab/LLMs-in-science
Michalis Lazarou,46973863,MichalisLazarou,Exploiting unlabeled data in few-shot learning with manifold similarity and label cleaning,https://github.com/MichalisLazarou/iLPC
Michalis Lazarou,46973863,MichalisLazarou,Iterative label cleaning for transductive and semi-supervised few-shot learning,https://github.com/MichalisLazarou/iLPC
Michalis Lazarou,46973863,MichalisLazarou,Adaptive manifold for imbalanced transductive few-shot learning,https://github.com/MichalisLazarou/AM
Michalis Lazarou,46973863,MichalisLazarou,Adaptive Anchor Label Propagation for Transductive Few-Shot Learning,https://github.com/MichalisLazarou/A2LP
Michalis Lazarou,46973863,MichalisLazarou,Tensor feature hallucination for few-shot learning,https://github.com/MichalisLazarou/TFH_fewshot
Xiaoke Wang,2304359355,tkks22123,UC-PUAL: A universally consistent classifier of positive-unlabelled data,https://github.com/tkks22123/UC-PUAL
Xiaoke Wang,2304359355,tkks22123,GKF-PUAL: A group kernel-free approach to positive-unlabeled learning with variable selection,https://github.com/tkks22123/GKF-PUAL
Yi Liao,2323731143,ly9802,Dynamic accumulated attention map for interpreting evolution of decision-making in vision transformer,https://github.com/ly9802/DynamicAccumulatedAttentionMap
Yi Liao,2323731143,ly9802,Neuron Abandoning Attention Flow: Visual Explanation of Dynamics inside CNN Models,https://github.com/ly9802/NAFlow
Aryan Singh,2337770024,Aryansin1234,Revolutionizing Brain Tumor Diagnosis with Convolutional Neural Networks,https://github.com/Aryansin1234/Brain-Tumor-Detection-EfficientNet
Sally R. Ellingson,145685049,sallyrose0425,Computationally Characterizing Genomic Pipelines Using High-confident Call Sets,https://github.com/sallyrose0425/GATKBP
